entity_id,entity_type,name,glyph,glyph_type,unicode,color,size_default,tradition,attestation,svg_path,notes
rashi_vrischika,rashi,Vṛścika,♏,unicode_astronomical,U+264F,#c84040,14,jyotisha,OBSERVED,,Scorpio
rashi_dhanu,rashi,Dhanu,♐,unicode_astronomical,U+2650,#c8a050,14,jyotisha,OBSERVED,,Sagittarius
rashi_makara,rashi,Makara,♑,unicode_astronomical,U+2651,#8090a8,14,jyotisha,OBSERVED,,Capricorn
rashi_kumbha,rashi,Kumbha,♒,unicode_astronomical,U+2652,#8070dd,14,jyotisha,OBSERVED,,Aquarius
rashi_meena,rashi,Mīna,♓,unicode_astronomical,U+2653,#2858b8,14,jyotisha,OBSERVED,,Pisces
element_agni,element,Agni,▲,unicode_geometric,U+25B2,#c84040,14,yantra,OBSERVED,,upward triangle · fire
element_apas,element,Āpas,▽,unicode_geometric,U+25BD,#2858b8,14,yantra,OBSERVED,,downward triangle · water
element_prithvi,element,Pṛthvī,◼,unicode_geometric,U+25FC,#c87820,14,yantra,OBSERVED,,square · earth
element_vayu,element,Vāyu,⬡,unicode_geometric,U+2B21,#8070dd,14,yantra,OBSERVED,,hexagon · air
element_akasha,element,Ākāśa,●,unicode_geometric,U+25CF,#e0b040,14,yantra,OBSERVED,,bindu · ether
dosha_vata,dosha,Vāta,⬡,unicode_geometric,U+2B21,#8070dd,14,ayurveda,OBSERVED:TRADITIONAL,,air+ether · movement
dosha_pitta,dosha,Pitta,▲,unicode_geometric,U+25B2,#c84040,14,ayurveda,OBSERVED:TRADITIONAL,,fire · transformation
dosha_kapha,dosha,Kapha,▽,unicode_geometric,U+25BD,#2858b8,14,ayurveda,OBSERVED:TRADITIONAL,,water · structure
guna_sattva,guna,Sattva,✦,unicode_geometric,U+2726,#e0b040,14,samkhya,OBSERVED:TRADITIONAL,,clarity · light
guna_rajas,guna,Rajas,✶,unicode_geometric,U+2736,#c87820,14,samkhya,OBSERVED:TRADITIONAL,,activity · passion
guna_tamas,guna,Tamas,▪,unicode_geometric,U+25AA,#3a5060,14,samkhya,OBSERVED:TRADITIONAL,,inertia · darkness
vastu_c,vastu,Brahmā,✦,unicode_geometric,U+2726,#e0b040,18,vastu,OBSERVED,,center · bindu
vastu_n,vastu,Kubera,↑,unicode_geometric,U+2191,#2858b8,14,vastu,OBSERVED,,north · wealth
vastu_ne,vastu,Īśāna,↗,unicode_geometric,U+2197,#8070dd,14,vastu,OBSERVED,,northeast · sacred
vastu_e,vastu,Indra,→,unicode_geometric,U+2192,#e8c86a,14,vastu,OBSERVED,,east · sunrise
vastu_se,vastu,Agni,↘,unicode_geometric,U+2198,#c84040,14,vastu,OBSERVED,,southeast · fire
vastu_s,vastu,Yama,↓,unicode_geometric,U+2193,#508860,14,vastu,OBSERVED,,south · boundary
vastu_sw,vastu,Nirṛti,↙,unicode_geometric,U+2199,#4b0082,14,vastu,OBSERVED,,southwest · decay
vastu_w,vastu,Varuṇa,←,unicode_geometric,U+2190,#285898,14,vastu,OBSERVED,,west · water
vastu_nw,vastu,Vāyu,↖,unicode_geometric,U+2196,#2878a8,14,vastu,OBSERVED,,northwest · wind
slayer_s0,slayer,S0 Bindu,●,unicode_geometric,U+25CF,#8070dd,12,atlas,OBSERVED,,source
slayer_s1,slayer,S1 Archetype,◎,unicode_geometric,U+25CE,#e0b040,12,atlas,OBSERVED,,field
slayer_s2,slayer,S2 Sound,≋,unicode_geometric,U+224B,#20a88a,12,atlas,OBSERVED,,sound
slayer_s3,slayer,S3 Rhythm,◑,unicode_geometric,U+25D1,#c8d8e8,12,atlas,OBSERVED,,time
slayer_s4,slayer,S4 Geometry,◈,unicode_geometric,U+25C8,#e0b040,12,atlas,OBSERVED,,form
slayer_s5,slayer,S5 Nature,✿,unicode_geometric,U+273F,#3a8a4a,12,atlas,OBSERVED,,nature
slayer_s6,slayer,S6 Lila,∞,unicode_geometric,U+221E,#8070dd,12,atlas,OBSERVED,,continuity
nakshatra_ashwini,nakshatra,Aśvinī,⚡,svg_custom,,#8d784f,16,jyotisha,OBSERVED,M4 14 Q10 2 16 14,horse head · twin curves
nakshatra_bharani,nakshatra,Bharaṇī,▿,svg_custom,,#ffa9dc,16,jyotisha,OBSERVED,M10 4 L4 16 L16 16 Z M10 11 L10 12,yoni triangle · dot
nakshatra_krittika,nakshatra,Kṛttikā,🔥,svg_custom,,#ff6040,16,jyotisha,OBSERVED,M10 2 L7 10 L4 18 M10 2 L13 10 L16 18,flame · razor
nakshatra_rohini,nakshatra,Rohiṇī,◎,svg_custom,,#e0b040,16,jyotisha,OBSERVED,M10 4 A6 6 0 1 1 10 16 A6 6 0 1 1 10 4 M10 8 L14 10 L10 12 L6 10 Z,cart wheel
nakshatra_mrigashira,nakshatra,Mṛgaśīrṣā,🦌,svg_custom,,#8ac060,16,jyotisha,OBSERVED,M10 16 L10 8 M10 8 L6 2 M10 8 L14 2,deer antlers
nakshatra_ardra,nakshatra,Ārdrā,💧,svg_custom,,#4878c8,16,jyotisha,OBSERVED,M10 4 Q6 10 10 18 Q14 10 10 4,teardrop · storm
nakshatra_punarvasu,nakshatra,Punarvasu,🏹,svg_custom,,#60a870,16,jyotisha,OBSERVED,M4 16 Q10 4 16 16 M10 6 L10 16,bow · quiver
nakshatra_pushya,nakshatra,Puṣya,❀,svg_custom,,#4090c0,16,jyotisha,OBSERVED,M10 4 L12 8 L16 10 L12 12 L10 16 L8 12 L4 10 L8 8 Z,flower · arrow
nakshatra_ashlesha,nakshatra,Āśleṣā,🐍,svg_custom,,#607850,16,jyotisha,OBSERVED,M6 14 Q4 10 6 8 Q10 4 14 8 Q16 12 14 14,serpent coil
nakshatra_magha,nakshatra,Maghā,👑,svg_custom,,#c8a050,16,jyotisha,OBSERVED,M4 16 L4 10 L10 6 L16 10 L16 16,throne · palanquin
nakshatra_purvaphalguni,nakshatra,Pūrvā Phālgunī,🛏,svg_custom,,#e8a0c0,16,jyotisha,OBSERVED,M4 10 Q7 6 10 10 Q13 14 16 10,hammock · swing
nakshatra_uttaraphalguni,nakshatra,Uttarā Phālgunī,🛋,svg_custom,,#d8a878,16,jyotisha,OBSERVED,M4 12 L16 12 M4 12 L4 16 M16 12 L16 16,bed · couch
nakshatra_hasta,nakshatra,Hastā,✋,svg_custom,,#e0b040,16,jyotisha,OBSERVED,M10 10 L6 4 M10 10 L14 4 M10 10 L4 8 M10 10 L16 8 M10 10 L10 16,open hand · five rays
nakshatra_chitra,nakshatra,Citrā,💎,svg_custom,,#c8a050,16,jyotisha,OBSERVED,M10 4 A4 4 0 1 1 10 12 A4 4 0 1 1 10 4 M10 2 L10 0 M10 14 L10 16 M4 8 L2 8 M16 8 L18 8,bright jewel · rays
nakshatra_swati,nakshatra,Svātī,🌿,svg_custom,,#60a0b0,16,jyotisha,OBSERVED,M10 18 L10 6 M10 6 L6 2 M10 6 L14 2 M10 6 L10 2,coral · shoot
nakshatra_vishakha,nakshatra,Viśākhā,🌿,svg_custom,,#c8a030,16,jyotisha,OBSERVED,M10 18 L10 8 M10 8 L4 2 M10 8 L16 2,forked branch · Y
nakshatra_anuradha,nakshatra,Anurādhā,🪷,svg_custom,,#c85090,16,jyotisha,OBSERVED,M10 16 L10 6 M10 6 A3 3 0 1 1 10 0 A3 3 0 1 1 10 6,lotus on staff
nakshatra_jyeshtha,nakshatra,Jyeṣṭhā,☂,svg_custom,,#4858a8,16,jyotisha,OBSERVED,M4 8 Q10 0 16 8 M10 8 L10 16,umbrella · earring
nakshatra_mula,nakshatra,Mūla,⚗,svg_custom,,#806040,16,jyotisha,OBSERVED,M6 4 L10 16 M14 4 L10 16 M8 4 L12 4,tied roots · bundle
nakshatra_purvashadha,nakshatra,Pūrvāṣāḍhā,🏵,svg_custom,,#d8a040,16,jyotisha,OBSERVED,M4 16 Q10 4 16 16,fan · tusk arc
nakshatra_uttarashadha,nakshatra,Uttarāṣāḍhā,🐘,svg_custom,,#a09060,16,jyotisha,OBSERVED,M6 4 L14 16 M6 4 L6 8,elephant tusk · plank
nakshatra_shravana,nakshatra,Śravaṇa,👂,svg_custom,,#4878c8,16,jyotisha,OBSERVED,M6 14 L10 6 L14 14,ear · three footprints
nakshatra_dhanishtha,nakshatra,Dhaniṣṭhā,🥁,svg_custom,,#c87840,16,jyotisha,OBSERVED,M6 4 L14 4 M6 4 L4 10 M14 4 L16 10 M4 10 L6 16 M16 10 L14 16 M6 16 L14 16,drum · mridanga
nakshatra_shatabhisha,nakshatra,Śatabhiṣā,○,svg_custom,,#4090a0,16,jyotisha,OBSERVED,M10 4 A6 6 0 1 1 10 16 A6 6 0 1 1 10 4,empty circle · 100 physicians
nakshatra_purvabhadrapada,nakshatra,Pūrva Bhādrapadā,⚔,svg_custom,,#6858a0,16,jyotisha,OBSERVED,M8 4 L8 16 M12 4 L12 16,two-faced · sword pair
nakshatra_uttarabhadrapada,nakshatra,Uttara Bhādrapadā,🐍,svg_custom,,#3870a0,16,jyotisha,OBSERVED,M6 4 Q6 10 10 10 Q14 10 14 16,twins · snake curves
nakshatra_revati,nakshatra,Revatī,🐟,svg_custom,,#50a0c0,16,jyotisha,OBSERVED,M4 10 Q10 4 16 10 Q10 16 4 10 M16 10 L18 8 M16 10 L18 12,fish · drum
devi_kamesvari,devi,Kāmeśvarī,ऐं,unicode_devanagari,,#ff6b35,16,srividya,OBSERVED,,tithi 1 · Aim
devi_bhagamalini,devi,Bhagamālinī,ह्रीं,unicode_devanagari,,#4878c8,16,srividya,OBSERVED,,tithi 2 · Hrim
devi_nityaklinna,devi,Nityaklinnā,क्लीं,unicode_devanagari,,#2050a0,16,srividya,OBSERVED,,tithi 3 · Klim
devi_bherunda,devi,Bheruṇḍā,ह्सौं,unicode_devanagari,,#c83060,16,srividya,OBSERVED,,tithi 4 · Hsauh
devi_vahnivasini,devi,Vahnivāsinī,सौं,unicode_devanagari,,#c84040,16,srividya,OBSERVED,,tithi 5 · Sauh
devi_mahavajresvari,devi,Mahāvajreśvarī,ह्रीं,unicode_devanagari,,#e8c86a,16,srividya,OBSERVED,,tithi 6 · Hrim
devi_sivaduti,devi,Śivadūtī,ह्रीं,unicode_devanagari,,#4b0082,16,srividya,OBSERVED,,tithi 7 · Hrim
devi_tvarita,devi,Tvaritā,ऐं,unicode_devanagari,,#20a88a,16,srividya,OBSERVED,,tithi 8 · Aim
devi_kulasundari,devi,Kulasundarī,क्लीं,unicode_devanagari,,#e8a0c0,16,srividya,OBSERVED,,tithi 9 · Klim
devi_nitya,devi,Nityā,श्रीं,unicode_devanagari,,#c8a050,16,srividya,OBSERVED,,tithi 10 · Srim
devi_nilapataka,devi,Nīlapatākā,ह्रीं,unicode_devanagari,,#2858b8,16,srividya,OBSERVED,,tithi 11 · Hrim
devi_vijaya,devi,Vijayā,ऐं,unicode_devanagari,,#3a8a4a,16,srividya,OBSERVED,,tithi 12 · Aim
devi_sarvamangala,devi,Sarvamaṅgalā,श्रीं,unicode_devanagari,,#e0b040,16,srividya,OBSERVED,,tithi 13 · Srim
devi_jvalamalini,devi,Jvālāmālinī,रं,unicode_devanagari,,#c84040,16,srividya,OBSERVED,,tithi 14 · Ram · fire bija
devi_chidagni,devi,Cidagni,ह्रीं,unicode_devanagari,,#8070dd,16,srividya,OBSERVED,,tithi 15 · Hrim
ashtakala_pratah,ashtakala,Prātaḥ,◌,unicode_geometric,U+25CC,#e8c86a,12,goloka,OBSERVED,,dawn · empty rising
ashtakala_sangava,ashtakala,Saṅgava,◑,unicode_geometric,U+25D1,#e0b040,12,goloka,OBSERVED,,morning · half lit
ashtakala_madhyahna,ashtakala,Madhyāhna,●,unicode_geometric,U+25CF,#e0b040,12,goloka,OBSERVED,,midday · full
ashtakala_aparahna,ashtakala,Aparāhṇa,◕,unicode_geometric,U+25D5,#c8a050,12,goloka,OBSERVED,,afternoon · three quarter
ashtakala_sayahna,ashtakala,Sāyāhna,◐,unicode_geometric,U+25D0,#8090a8,12,goloka,OBSERVED,,dusk · half dark
ashtakala_pradosha,ashtakala,Pradoṣa,◔,unicode_geometric,U+25D4,#4b0082,12,goloka,OBSERVED,,evening · quarter dark
ashtakala_nisha,ashtakala,Niśā,○,unicode_geometric,U+25CB,#2858b8,12,goloka,OBSERVED,,night · dark circle
ashtakala_ardharatri,ashtakala,Ardharātri,◯,unicode_geometric,U+25EF,#1a2840,12,goloka,OBSERVED,,midnight · ring
